jid,title,location,proj_quals,job_desc,start_date,end_date
J0479,Software Engineer,Hanoi,"Leadership, Project Planning, Excel",Analyze data and visualize results.,2/10/2025,7/4/2025
J0480,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,2/11/2025,7/10/2025
J0481,Software Engineer,Hanoi,"Python, SQL, Power BI",Analyze data and visualize results.,2/28/2025,6/21/2025
J0482,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,2/9/2025,7/21/2025
J0483,Data Analyst,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,2/26/2025,9/3/2025
J0484,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,1/24/2025,8/12/2025
J0485,Data Scientist,Hanoi,"Python, SQL, Power BI",Develop backend systems and maintain performance.,3/16/2025,9/7/2025
J0486,Data Analyst,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,4/8/2025,8/8/2025
J0487,Data Analyst,Hanoi,"Python, SQL, Power BI",Develop backend systems and maintain performance.,4/5/2025,7/8/2025
J0488,Software Engineer,Da Nang,"Leadership, Project Planning, Excel",Analyze data and visualize results.,1/18/2025,6/17/2025
J0489,Data Scientist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/21/2025,7/11/2025
J0490,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,3/17/2025,6/6/2025
J0491,Data Analyst,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,1/26/2025,7/10/2025
J0492,Marketing Specialist,Hanoi,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,2/15/2025,8/12/2025
J0493,Data Analyst,Hanoi,"Python, SQL, Power BI",Design and execute marketing campaigns.,2/1/2025,7/28/2025
J0494,Marketing Specialist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,1/7/2025,7/22/2025
J0495,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,3/23/2025,7/6/2025
J0496,Data Scientist,Da Nang,"Java, SQL, Communication",Analyze data and visualize results.,3/8/2025,6/5/2025
J0497,Project Manager,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/7/2025,8/21/2025
J0498,Marketing Specialist,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/10/2025,7/11/2025
J0499,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,2/28/2025,7/9/2025
J0500,Software Engineer,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,1/4/2025,9/2/2025
J0501,Marketing Specialist,Hanoi,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,1/16/2025,6/27/2025
J0502,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,1/3/2025,7/18/2025
J0503,Software Engineer,Da Nang,"Python, SQL, Power BI",Develop predictive models and report insights.,1/8/2025,8/3/2025
J0504,Marketing Specialist,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/26/2025,6/18/2025
J0505,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Develop backend systems and maintain performance.,2/17/2025,8/24/2025
J0506,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,2/17/2025,8/25/2025
J0507,Data Analyst,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,2/7/2025,8/17/2025
J0508,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/2/2025,7/19/2025
J0509,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/4/2025,6/9/2025
J0510,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,4/6/2025,9/7/2025
J0511,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,3/19/2025,8/1/2025
J0512,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,1/26/2025,6/19/2025
J0513,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,2/12/2025,7/4/2025
J0514,Project Manager,Hanoi,"Python, SQL, Power BI",Design and execute marketing campaigns.,3/3/2025,6/19/2025
J0515,Project Manager,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/30/2025,6/6/2025
J0516,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/12/2025,9/3/2025
J0517,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,2/25/2025,6/1/2025
J0518,Data Scientist,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/12/2025,8/19/2025
J0519,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/8/2025,8/21/2025
J0520,Software Engineer,Hanoi,"Python, SQL, Power BI",Analyze data and visualize results.,1/6/2025,6/14/2025
J0521,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,4/1/2025,7/3/2025
J0522,Software Engineer,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,4/6/2025,7/20/2025
J0523,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,1/23/2025,7/5/2025
J0524,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,4/1/2025,6/27/2025
J0525,Data Analyst,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,3/11/2025,9/3/2025
J0526,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Analyze data and visualize results.,1/22/2025,6/14/2025
J0527,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,2/5/2025,6/6/2025
J0528,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,4/6/2025,7/29/2025
J0529,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/31/2025,6/14/2025
J0530,Marketing Specialist,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,1/7/2025,6/25/2025
J0531,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/28/2025,8/22/2025
J0532,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Develop backend systems and maintain performance.,3/5/2025,7/23/2025
J0533,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/20/2025,7/22/2025
J0534,Data Analyst,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,1/28/2025,7/8/2025
J0535,Data Scientist,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/15/2025,6/12/2025
J0536,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,4/3/2025,8/26/2025
J0537,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,3/6/2025,8/17/2025
J0538,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/12/2025,8/12/2025
J0539,Marketing Specialist,Da Nang,"Java, SQL, Communication",Develop backend systems and maintain performance.,2/9/2025,7/30/2025
J0540,Data Analyst,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/30/2025,8/21/2025
J0541,Marketing Specialist,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,2/22/2025,8/2/2025
J0542,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/17/2025,7/28/2025
J0543,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/6/2025,8/11/2025
J0544,Software Engineer,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,2/3/2025,9/6/2025
J0545,Marketing Specialist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,2/1/2025,8/23/2025
J0546,Data Analyst,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,2/10/2025,8/6/2025
J0547,Data Scientist,Ho Chi Minh,"Python, SQL, Power BI",Analyze data and visualize results.,1/29/2025,6/5/2025
J0548,Project Manager,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,2/1/2025,9/6/2025
J0549,Software Engineer,Hanoi,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,1/2/2025,6/30/2025
J0550,Data Scientist,Da Nang,"Python, SQL, Power BI",Develop predictive models and report insights.,3/20/2025,8/17/2025
J0551,Software Engineer,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,3/8/2025,6/6/2025
J0552,Data Analyst,Hanoi,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/17/2025,8/8/2025
J0553,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,3/9/2025,6/23/2025
J0554,Software Engineer,Hanoi,"Java, SQL, Communication",Analyze data and visualize results.,3/6/2025,9/2/2025
J0555,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,1/28/2025,8/7/2025
J0556,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,3/18/2025,9/7/2025
J0557,Marketing Specialist,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,2/17/2025,8/21/2025
J0558,Data Scientist,Hanoi,"Java, SQL, Communication",Analyze data and visualize results.,1/27/2025,7/8/2025
J0559,Project Manager,Da Nang,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/2/2025,7/1/2025
J0560,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,4/3/2025,8/5/2025
J0561,Software Engineer,Hanoi,"Java, SQL, Communication",Manage project timelines and coordinate teams.,1/22/2025,6/11/2025
J0562,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,2/15/2025,7/10/2025
J0563,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Design and execute marketing campaigns.,1/27/2025,6/1/2025
J0564,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,3/14/2025,9/3/2025
J0565,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,1/23/2025,6/12/2025
J0566,Data Scientist,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,2/18/2025,7/8/2025
J0567,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,3/18/2025,6/25/2025
J0568,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/16/2025,8/23/2025
J0569,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,2/25/2025,8/13/2025
J0570,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,2/13/2025,9/1/2025
J0571,Data Analyst,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,1/9/2025,8/9/2025
J0572,Data Scientist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,1/3/2025,7/21/2025
J0573,Marketing Specialist,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/7/2025,6/10/2025
J0574,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,1/2/2025,8/26/2025
J0575,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/25/2025,6/12/2025
J0576,Project Manager,Hanoi,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/11/2025,7/4/2025
J0577,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/22/2025,8/17/2025
J0578,Software Engineer,Da Nang,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/27/2025,7/31/2025
J0579,Data Scientist,Hanoi,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,1/19/2025,9/7/2025
J0580,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,3/29/2025,8/19/2025
J0581,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/14/2025,6/7/2025
J0582,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,3/11/2025,8/4/2025
J0583,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/22/2025,8/1/2025
J0584,Project Manager,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,1/26/2025,7/2/2025
J0585,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,3/26/2025,8/10/2025
J0586,Data Scientist,Ho Chi Minh,"Python, SQL, Power BI",Analyze data and visualize results.,2/17/2025,6/21/2025
J0587,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,3/19/2025,8/26/2025
J0588,Data Scientist,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/29/2025,7/12/2025
J0589,Data Scientist,Hanoi,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,1/21/2025,8/11/2025
J0590,Software Engineer,Hanoi,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,3/8/2025,7/17/2025
J0591,Software Engineer,Hanoi,"Java, SQL, Communication",Analyze data and visualize results.,3/27/2025,8/5/2025
J0592,Marketing Specialist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/8/2025,9/4/2025
J0593,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,4/8/2025,8/1/2025
J0594,Marketing Specialist,Hanoi,"Java, SQL, Communication",Develop predictive models and report insights.,2/11/2025,7/10/2025
J0595,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,2/21/2025,7/27/2025
J0596,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,2/13/2025,8/31/2025
J0597,Data Scientist,Hanoi,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,1/29/2025,7/12/2025
J0598,Project Manager,Da Nang,"Java, SQL, Communication",Analyze data and visualize results.,3/6/2025,7/27/2025
J0599,Software Engineer,Ho Chi Minh,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/25/2025,6/7/2025
J0600,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/27/2025,8/9/2025
J0601,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,2/27/2025,8/26/2025
J0602,Marketing Specialist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,3/17/2025,9/7/2025
J0603,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,1/16/2025,6/9/2025
J0604,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,1/8/2025,8/18/2025
J0605,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,3/25/2025,9/4/2025
J0606,Data Scientist,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/25/2025,8/8/2025
J0607,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,2/21/2025,6/18/2025
J0608,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Develop backend systems and maintain performance.,3/24/2025,8/20/2025
J0609,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,4/5/2025,7/21/2025
J0610,Data Scientist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,1/24/2025,6/19/2025
J0611,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Develop backend systems and maintain performance.,3/18/2025,9/1/2025
J0612,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,2/14/2025,6/4/2025
J0613,Software Engineer,Hanoi,"Java, SQL, Communication",Analyze data and visualize results.,1/15/2025,6/5/2025
J0614,Marketing Specialist,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,1/23/2025,6/25/2025
J0615,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,3/25/2025,8/13/2025
J0616,Data Scientist,Hanoi,"Java, SQL, Communication",Develop backend systems and maintain performance.,2/18/2025,6/22/2025
J0617,Data Scientist,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/20/2025,8/6/2025
J0618,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Design and execute marketing campaigns.,3/24/2025,6/29/2025
J0619,Software Engineer,Da Nang,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,2/17/2025,8/6/2025
J0620,Data Scientist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/10/2025,6/10/2025
J0621,Data Scientist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/19/2025,7/29/2025
J0622,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/11/2025,7/2/2025
J0623,Marketing Specialist,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,1/15/2025,7/8/2025
J0624,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/26/2025,6/16/2025
J0625,Software Engineer,Da Nang,"Python, SQL, Power BI",Analyze data and visualize results.,1/29/2025,6/23/2025
J0626,Marketing Specialist,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,2/20/2025,8/23/2025
J0627,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,2/15/2025,6/18/2025
J0628,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,2/20/2025,9/6/2025
J0629,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/21/2025,8/18/2025
J0630,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/22/2025,6/5/2025
J0631,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,3/19/2025,6/30/2025
J0632,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,1/8/2025,7/7/2025
J0633,Marketing Specialist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/1/2025,8/28/2025
J0634,Marketing Specialist,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,3/5/2025,7/6/2025
J0635,Data Scientist,Da Nang,"Java, SQL, Communication",Develop predictive models and report insights.,1/11/2025,7/25/2025
J0636,Project Manager,Da Nang,"Python, SQL, Power BI",Develop backend systems and maintain performance.,1/3/2025,6/7/2025
J0637,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/8/2025,9/2/2025
J0638,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,2/17/2025,7/8/2025
J0639,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,2/27/2025,6/6/2025
J0640,Data Scientist,Hanoi,"Java, SQL, Communication",Manage project timelines and coordinate teams.,1/28/2025,8/17/2025
J0641,Marketing Specialist,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/4/2025,8/31/2025
J0642,Data Scientist,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,1/23/2025,6/25/2025
J0643,Data Analyst,Da Nang,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/2/2025,6/10/2025
J0644,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/27/2025,7/18/2025
J0645,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,1/23/2025,7/20/2025
J0646,Software Engineer,Ho Chi Minh,"Java, SQL, Communication",Develop backend systems and maintain performance.,2/13/2025,6/21/2025
J0647,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,2/19/2025,8/2/2025
J0648,Data Analyst,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,1/10/2025,8/17/2025
J0649,Software Engineer,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,2/19/2025,8/30/2025
J0650,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/26/2025,6/24/2025
J0651,Software Engineer,Ho Chi Minh,"Python, SQL, Power BI",Develop backend systems and maintain performance.,1/9/2025,6/21/2025
J0652,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/11/2025,7/9/2025
J0653,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,2/22/2025,7/19/2025
J0654,Project Manager,Hanoi,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/16/2025,6/17/2025
J0655,Project Manager,Hanoi,"Java, SQL, Communication",Develop backend systems and maintain performance.,4/5/2025,6/19/2025
J0656,Data Scientist,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,4/11/2025,8/12/2025
J0657,Data Scientist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/21/2025,6/10/2025
J0658,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/7/2025,7/1/2025
J0659,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,3/26/2025,7/1/2025
J0660,Project Manager,Hanoi,"Python, SQL, Power BI",Develop backend systems and maintain performance.,3/29/2025,8/21/2025
J0661,Marketing Specialist,Da Nang,"Java, SQL, Communication",Develop predictive models and report insights.,1/17/2025,8/17/2025
J0662,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,2/15/2025,7/6/2025
J0663,Data Scientist,Hanoi,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/8/2025,8/24/2025
J0664,Marketing Specialist,Hanoi,"Python, SQL, Power BI",Design and execute marketing campaigns.,2/14/2025,6/16/2025
J0665,Data Analyst,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,2/1/2025,7/18/2025
J0666,Data Scientist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,4/3/2025,7/10/2025
J0667,Data Analyst,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,2/4/2025,6/30/2025
J0668,Software Engineer,Da Nang,"Python, SQL, Power BI",Design and execute marketing campaigns.,3/20/2025,7/29/2025
J0669,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,3/12/2025,8/2/2025
J0670,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,1/17/2025,7/11/2025
J0671,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/4/2025,8/15/2025
J0672,Software Engineer,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,2/4/2025,6/5/2025
J0673,Software Engineer,Ho Chi Minh,"Java, SQL, Communication",Develop backend systems and maintain performance.,3/6/2025,6/10/2025
J0674,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,4/9/2025,6/29/2025
J0675,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/14/2025,7/28/2025
J0676,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,4/11/2025,6/6/2025
J0677,Data Scientist,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,2/14/2025,6/10/2025
J0678,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/26/2025,7/20/2025
J0679,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/9/2025,6/13/2025
J0680,Project Manager,Hanoi,"Python, SQL, Power BI",Develop backend systems and maintain performance.,2/16/2025,8/7/2025
J0681,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,2/23/2025,7/12/2025
J0682,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Develop predictive models and report insights.,3/9/2025,8/28/2025
J0683,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,4/9/2025,6/12/2025
J0684,Marketing Specialist,Hanoi,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,2/2/2025,7/20/2025
J0685,Software Engineer,Hanoi,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,1/17/2025,8/11/2025
J0686,Data Analyst,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,3/29/2025,8/31/2025
J0687,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/9/2025,9/8/2025
J0688,Data Analyst,Hanoi,"Java, SQL, Communication",Develop backend systems and maintain performance.,4/2/2025,6/3/2025
J0689,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/28/2025,6/28/2025
J0690,Software Engineer,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,3/20/2025,6/21/2025
J0691,Data Analyst,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,2/19/2025,6/7/2025
J0692,Data Analyst,Da Nang,"Java, SQL, Communication",Analyze data and visualize results.,4/8/2025,8/20/2025
J0693,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/30/2025,6/25/2025
J0694,Project Manager,Da Nang,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,1/20/2025,7/3/2025
J0695,Software Engineer,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,1/23/2025,8/17/2025
J0696,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,4/9/2025,8/9/2025
J0697,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Analyze data and visualize results.,3/27/2025,8/9/2025
J0698,Project Manager,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/29/2025,6/7/2025
J0699,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Develop backend systems and maintain performance.,3/10/2025,8/15/2025
J0700,Data Scientist,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/20/2025,6/25/2025
J0701,Marketing Specialist,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/12/2025,7/3/2025
J0702,Marketing Specialist,Da Nang,"Python, SQL, Power BI",Design and execute marketing campaigns.,2/3/2025,6/13/2025
J0703,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/21/2025,6/8/2025
